task_id,asset_id,department,maintenance_type,corridor_id,section_id,date,start_minute,end_minute,duration_minutes,block_ids,assigned_teams,is_bundled,sharing_type,bundled_with_task_ids,is_night,risk_score,risk_level,failure_probability_30d,priority_score
TASK-000001,AST-120001,Track / Civil Engineering,Rail Inspection,COR-010,SEC-0092,2026-09-03,0,125,125,BLK-001093;BLK-001094,TEAM-010,No,single,None,Yes,7.30,LOW,0.0726,267.50
TASK-000015,AST-120015,Electrical / TRD,Bridge Inspection,COR-008,SEC-0072,2026-09-03,1168,1320,152,BLK-000862;BLK-000863,TEAM-015,No,single,None,Yes,35.10,MODERATE,0.3511,845.00
TASK-000029,AST-120029,Track / Civil Engineering,OHE Inspection,COR-003,SEC-0028,2026-09-03,240,343,103,BLK-000327,TEAM-001,No,single,None,Yes,4.90,LOW,0.0491,178.00
TASK-000043,AST-120043,Electrical / TRD,Ballast Tamping,COR-011,SEC-0102,2026-09-03,540,703,163,BLK-001217;BLK-001218,TEAM-020,No,single,None,No,20.20,LOW,0.2021,454.00
TASK-000057,AST-120057,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-019,SEC-0189,2026-09-03,1211,1306,95,BLK-002267,TEAM-027,No,single,None,Yes,3.40,LOW,0.0341,188.00
TASK-000071,AST-120071,Track / Civil Engineering,Ballast Tamping,COR-020,SEC-0194,2026-09-03,240,430,190,BLK-002319;BLK-002320,TEAM-010,No,single,None,Yes,43.00,MODERATE,0.4299,941.50
TASK-000085,AST-120085,Track / Civil Engineering,Switchgear Inspection,COR-003,SEC-0025,2026-09-03,600,721,121,BLK-000294;BLK-000295,TEAM-002,No,single,None,No,82.60,CRITICAL,0.8265,1782.00
TASK-000099,AST-120099,Track / Civil Engineering,Brake Inspection,COR-013,SEC-0130,2026-09-03,0,143,143,BLK-001549;BLK-001550,TEAM-004,No,single,None,Yes,24.20,LOW,0.2416,616.25
TASK-000113,AST-120113,Electrical / TRD,Switchgear Inspection,COR-013,SEC-0127,2026-09-03,120,233,113,BLK-001514,TEAM-013,No,single,None,Yes,94.80,CRITICAL,0.9482,1998.25
TASK-000127,AST-120127,Track / Civil Engineering,Bridge Inspection,COR-004,SEC-0037,2026-09-03,33,240,207,BLK-000433;BLK-000434,TEAM-007,No,single,None,Yes,14.70,LOW,0.1475,397.00
TASK-000141,AST-120141,Mechanical / Rolling Stock,OHE Inspection,COR-012,SEC-0117,2026-09-03,963,1200,237,BLK-001401;BLK-001402,TEAM-033,No,single,None,No,50.20,MODERATE,0.5024,1136.25
TASK-000155,AST-120155,Mechanical / Rolling Stock,Rail Inspection,COR-020,SEC-0193,2026-09-03,180,323,143,BLK-002306;BLK-002307,TEAM-031,No,single,None,Yes,23.50,LOW,0.2354,612.25
TASK-007057,AST-127057,Electrical / TRD,Axle Inspection,COR-008,SEC-0073,2026-09-03,19,120,101,BLK-000865,TEAM-013,No,single,None,Yes,93.60,CRITICAL,0.9356,1953.50
TASK-008079,AST-128079,Electrical / TRD,Catenary Repair,COR-008,SEC-0073,2026-09-03,480,593,113,BLK-000869,TEAM-014,No,single,None,No,19.50,LOW,0.1946,443.00
TASK-016913,AST-136913,Electrical / TRD,Feeder Maintenance,COR-008,SEC-0073,2026-09-03,240,378,138,BLK-000867;BLK-000868,TEAM-013,Yes,concurrent,TASK-018159,Yes,84.00,CRITICAL,0.8399,1813.00
TASK-017641,AST-137641,Track / Civil Engineering,Bridge Inspection,COR-008,SEC-0073,2026-09-03,1286,1440,154,BLK-000875;BLK-000876,TEAM-003,No,single,None,Yes,82.00,CRITICAL,0.8195,1770.00
TASK-018159,AST-138159,Track / Civil Engineering,Coach Equipment Maintenance,COR-008,SEC-0073,2026-09-03,240,321,81,BLK-000867,TEAM-004,Yes,concurrent,TASK-016913,Yes,89.80,CRITICAL,0.8983,1936.00
TASK-018761,AST-138761,Track / Civil Engineering,Transformer Inspection,COR-008,SEC-0073,2026-09-03,1065,1200,135,BLK-000873;BLK-000874,TEAM-009,No,single,None,No,95.40,CRITICAL,0.9535,1931.00
TASK-023605,AST-143605,Electrical / TRD,Ballast Tamping,COR-008,SEC-0073,2026-09-03,747,840,93,BLK-000871,TEAM-020,No,single,None,No,12.90,LOW,0.1295,281.00
TASK-000002,AST-120002,Electrical / TRD,Bearing Inspection,COR-003,SEC-0028,2026-09-04,128,240,112,BLK-002726,TEAM-013,No,single,None,Yes,1.70,LOW,0.0171,86.25
TASK-000030,AST-120030,Mechanical / Rolling Stock,Brake Inspection,COR-004,SEC-0034,2026-09-04,1080,1242,162,BLK-002806;BLK-002807,TEAM-033,No,single,None,Yes,6.90,LOW,0.0689,279.50
TASK-000044,AST-120044,Signal & Telecommunications (S&T),Transformer Inspection,COR-014,SEC-0140,2026-09-04,5,120,115,BLK-004069,TEAM-022,No,single,None,Yes,2.80,LOW,0.0278,199.00
TASK-000058,AST-120058,Mechanical / Rolling Stock,Catenary Repair,COR-020,SEC-0196,2026-09-04,1080,1230,150,BLK-004750;BLK-004751,TEAM-036,No,single,None,Yes,3.70,LOW,0.0365,215.50
TASK-000072,AST-120072,Track / Civil Engineering,Turnout Maintenance,COR-011,SEC-0109,2026-09-04,31,120,89,BLK-003697,TEAM-007,No,single,None,Yes,67.20,HIGH,0.6717,1477.00
